0,1,2,3,4,5,6,7,8
147,173,199,235,263,274,302,343,365
79,96,125,165,189,210,234,259,278
19,35,47,53,60,65,69,76,83
6,5,8,9,7,7,11,9,9
166,182,159,199,223,255,274,271,314
949,1011,1101,1180,1229,1275,1338,1427,1528
22,18,22,24,25,29,35,34,37
612,614,646,714,726,738,760,783,806
2016,1958,1750,2196,2078,2154,2178,2228,2472
135,91,105,131,130,135,138,144,148
139,178,200,175,191,204,206,213,215
197,222,312,342,394,444,486,533,601
1104,1255,1402,1604,1748,1860,2064,2234,2373
721,697,707,792,824,839,863,903,916
2138,2227,2340,2467,2529,2625,2717,2818,2917
21,21,25,25,26,27,31,32,35
110,158,193,260,284,309,342,392,419
34,66,28,42,48,57,56,59,65
343,329,338,355,357,361,378,388,393
6918,8264,9383,10302,10895,11335,12081,12612,13254
284,306,407,409,435,480,478,573,529
7014,8065,8995,10108,10874,11541,12355,13323,14444
143,331,465,626,751,845,941,1055,1185
597,612,661,689,746,805,853,904,969
219,243,297,381,393,395,409,412,427
48,64,94,135,148,172,194,220,254
181,146,158,170,171,178,181,187,191
8563,8916,9407,9838,10459,11301,11678,12099,12881
5,6,9,10,13,15,18,20,22
289,321,312,327,337,342,351,359,366
11,16,32,39,49,58,65,73,81
18725,17591,15430,17494,17654,17627,18373,18661,18961
376,392,419,441,457,467,477,485,501
432,277,414,546,584,614,651,723,712
11,12,13,13,14,14,15,15,15
904,980,1006,1101,1161,1213,1324,1380,1468
23,31,37,38,47,47,54,57,60
117,180,169,212,233,243,251,247,257
3785,3973,4187,4549,4729,4990,5261,5576,5837
1156,1223,1322,1456,1529,1614,1758,1860,1956
299,328,325,346,348,363,374,377,395
1280,1488,1611,1899,2034,2169,2254,2459,2616
96,134,181,114,165,153,172,150,196
2021,2028,1603,2711,2694,2609,2776,2824,2851
267,373,755,1116,1546,1939,2391,2821,3272
1955,2372,2924,3300,3599,4079,4280,4654,4635
100,103,132,155,164,173,176,191,205
37,70,88,83,89,94,89,87,101
154,184,210,235,241,248,253,259,264
0,8,14,8,7,11,10,12,10
1,2,2,2,2,2,2,2,3
812,826,997,1195,1244,1309,1366,1431,1486
1,1,2,2,2,2,2,3,3
184,201,242,290,334,366,399,428,459
10702,11170,11381,11640,12153,12766,13036,13311,13761
658,597,700,718,758,791,815,840,890
1,8,18,31,35,40,44,49,54
6572,6548,6729,7370,7360,7525,7964,8131,8498
334,338,385,224,227,233,240,245,246
196,207,276,302,304,338,340,373,394
8,13,24,27,31,35,36,39,42
463,479,518,564,589,610,641,677,719
133,162,196,187,219,250,257,266,258
758,868,1092,1193,1253,1329,1370,1427,1511
668,641,860,992,982,997,1053,1072,1096
245,201,437,461,539,595,609,619,711
1459,2383,1902,2102,2334,2060,2381,2462,2485
5049,6552,7235,9607,10058,10117,10461,10872,11379
427,482,544,575,610,652,701,734,791
214,407,505,624,727,792,867,950,1048
2,2,2,2,2,2,2,2,2
26,23,35,48,52,58,61,63,68
1058,1073,1405,1958,2078,2230,2384,2496,2628
772,706,771,802,836,866,892,936,989
22,27,38,41,43,45,49,52,54
